Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_1,Tunnel,Houston,2020-01-01,2021-09-26,12260784,15054504.04588933,2793720.045889329,699,813.9148521081487,114.9148521081487,1.5341721708884293,2.809384781207566,471.19738055079995,18.54155503456163,49.88337244454125,Snowy,210,25202.994686520688,244.8433100821766,6602,76.30018368028198,8,6.192198171085414,52.98833038206731,0,95.00634309593883,High
PJT_2,Dam,Houston,2020-01-02,2020-12-06,2369277,3507053.961511834,1137776.961511834,269,384.11822075374016,115.11822075374016,0.6879788952477465,3.7044160336099274,355.1551256914909,23.316771914743462,58.641272060695584,Snowy,195,49066.17254158934,263.12302545953946,7121,63.5276712992073,5,2.134473480571662,50.88574547544846,0,25.294824196748536,Low
PJT_3,Building,Houston,2020-01-03,2021-12-05,23299783,21692126.701510735,-1607656.2984892651,899,1081.7779150556507,182.77791505565074,0.9511461471261609,3.309301561075028,236.49341561016647,42.957877170099536,36.16591652191211,Cloudy,127,48192.54716294946,608.9850231576941,9956,47.09944438018829,2,3.113728236987405,93.9058361052841,0,97.47882974761045,Medium
PJT_4,Dam,Houston,2020-01-04,2022-04-12,24499306,29469660.49818943,4970354.498189431,809,974.5656546567313,165.56565465673134,0.870396185027795,1.7776489857600382,360.2903940074368,22.420894170128577,72.04517750453527,Cloudy,71,19811.151750023615,673.574343785492,3725,86.84639409323137,5,4.070100814428829,90.45431579016721,1,95.09813073766652,High
PJT_5,Dam,Seattle,2020-01-05,2022-02-12,1749971,2329338.0435899943,579367.0435899943,354,347.99012671864625,-6.009873281353748,1.969769981536377,4.044292695167827,204.7908363423666,15.914490765797801,57.23918227895473,Cloudy,113,44866.56516875615,765.476122299279,4368,61.827163095943426,6,2.7593506572715265,78.39106902502354,0,43.62498505663142,Low
PJT_6,Road,Seattle,2020-01-06,2020-09-18,16711072,23689353.014092714,6978281.014092714,255,379.85914975928904,124.85914975928904,0.6552730178048369,1.4735068494276398,174.76628735713376,21.53708942437371,76.63241851682392,Sunny,70,43142.51183970422,262.9453244249328,4497,84.16324086896738,6,2.3512046124702297,99.9361627268857,0,98.45922625200575,Low
PJT_7,Building,Los Angeles,2020-01-07,2021-11-25,47109273,47465106.63488769,355833.63488768786,792,831.5871177408679,39.58711774086794,0.660152752858857,2.8560645887575857,498.5074750706059,41.03453464241149,74.65129110200688,Cloudy,178,14480.617879740328,963.1063780879911,9174,70.77873051486051,7,1.5237799311725833,97.65260361008205,0,13.225973709210466,Low
PJT_8,Building,New York,2020-01-08,2021-09-19,42776934,59032258.28350513,16255324.283505127,842,794.8635268805913,-47.13647311940872,0.773641596774354,3.7269886957076976,387.8556040309045,35.56079800809054,35.050333778902,Rainy,290,33093.06803524714,674.865330660314,6642,84.31972321370952,3,8.85792309048037,82.75544853573533,0,69.46754994219683,High
PJT_9,Building,Houston,2020-01-09,2021-03-17,25527188,31439903.658478525,5912715.658478525,579,751.4770068939876,172.47700689398755,1.172728754451611,1.8947795490625379,340.12398982181793,7.763830335009441,70.09448853904337,Cloudy,156,8270.704201541668,862.3422269834994,9774,94.43737368715432,0,3.600490761683683,73.22872835201267,0,33.95330238379679,Medium
PJT_10,Dam,Los Angeles,2020-01-10,2021-05-23,5460276,6213423.931488857,753147.9314888567,250,314.3049555235309,64.30495552353091,0.5794132141011159,1.5138380380871252,209.88033944869346,3.048990001142549,76.003808556596,Rainy,165,42651.982426255774,586.0591437557546,5766,95.26177096322812,5,3.6128854354020956,57.60853580565648,0,21.651678693578766,Medium
